id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,EN_tweet,EN_summarize_txt,JP_summarize_txt

1556266189386436609,1556266189386436609,2022-08-07 22:09:08 東京 (標準時),2022-08-07,22:09:08,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,久しいなマイクラ！ 夏だ！お祭りだ！いろいろやりたいことだらけだ！！！ その前に！！！！ 先月開通したID鯖にもお邪魔したいぺこだな～！ いろいろとすごいと噂ぺこだからちょ～～～～～～～～～楽しみ！！！  すこし参考にさせてもらうところを盗みにいくか！,ja,[],[],[],250,1499,5001,[],[],https://twitter.com/usadapekora/status/1556266189386436609,False,https://twitter.com/usadapekora/status/1556235916834123776,0,,,,,,,,[],,,,,"It's been a long time, Mike! Summer! Festivals! So many things to do! But first, I'd like to visit ！！！！I'm looking forward to visiting the new ID Saba that opened last month! I've heard great things about it, so I'm looking forward to ～～～～～～～～～!  I'm going to steal a few references!","I'm looking forward to visiting the new ID Saba that opened last month! I've heard great things about it, so I'm excited to check it out!",先月オープンしたばかりのIDサバに行くのが楽しみです! とても良い評判を聞いているので、チェックするのが楽しみです

1556235916834123776,1556235916834123776,2022-08-07 20:08:50 東京 (標準時),2022-08-07,20:08:50,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,今日は久しぶりのマイクラ❣  凄いと噂のID鯖も見てみたいし 今年もあります！夏祭りの下準備もしなければ！  欲張りぺこーらぺこおおおおおお✨✨,ja,[],['https://youtu.be/7cNv0In60ZE'],['https://pbs.twimg.com/media/FZjbz5eaIAAHyY6.jpg'],263,1290,5660,[],[],https://twitter.com/usadapekora/status/1556235916834123776,False,,1,https://pbs.twimg.com/media/FZjbz5eaIAAHyY6.jpg,,,,,,,[],,,,,"Today is my first time in a long time ❣ I want to see the ID Saba, rumored to be awesome, and there's another one this year! I also have to prep for the summer festival!  Greedy Peko la Peko oooooo ✨✨","I want to see the ID Saba, rumored to be awesome, and there's another one this year! I also have to prep for the summer festival!",凄いと噂のIDサバも見たいし、今年もあるんだー。あと、夏祭りの予習もしないと！（笑

1555525773842341888,1555525773842341888,2022-08-05 21:06:59 東京 (標準時),2022-08-05,21:06:59,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,200万！！！！ これはとてつもない数字。 ぺこーらのことを知ってくれてる人がこんなにもいる！！！！ ついに、ついにだよ！！！！ みんなで一緒に見届けるしかないよな？ ついてきてくれるか？いこう！ 200万人の世界へ！！！！！！！！！！,ja,[],[],[],404,3544,11686,[],[],https://twitter.com/usadapekora/status/1555525773842341888,False,https://twitter.com/usadapekora/status/1555503756426747906,0,,,,,,,,[],,,,,"2 million ！！！！This is a tremendous number. So many people know about Pekora ！！！！Finally, finally. ！！！！We all have to see this through together, right? Will you follow me? Let's go! To the world of 2 million people！！！！！！！！！！","Pekora has finally reached 2 million subscribers, and she's extremely happy about it.",ついにぺこらのチャンネル登録者数200万人に到達します。

1555503756426747906,1555503756426747906,2022-08-05 19:39:30 東京 (標準時),2022-08-05,19:39:30,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,ついについについについに… ぺこーらのCh登録者が200万人になりそうぺこ！！！！！！！！！！！！！！！  ここまで色々あったね～  やっぱこの瞬間はみんなと見届けたい!! 目指せ200万人！！！！！！！,ja,[],['https://youtu.be/4gisKCu30OI'],['https://pbs.twimg.com/media/FZY_dUeaUAATHM2.jpg'],339,2377,8998,[],[],https://twitter.com/usadapekora/status/1555503756426747906,False,,1,https://pbs.twimg.com/media/FZY_dUeaUAATHM2.jpg,,,,,,,[],,,,,"Finally, finally, finally... Peco's Ch subscriber is about to reach 2 million Peco！！！！！！！！！！！！！！！ A lot has happened so far~ I️ want to witness this moment with everyone!! Aim for 2 million ！！！！！！！","Peco's Ch subscriber is about to reach 2 million Peco! A lot has happened so far and I want to witness this moment with everyone! Aim for 2 million!",ぺこちゃんのCh登録者数200万人達成間近！？今までいろんなことがあったけど、この瞬間をみんなと一緒に見届けたい! 目指せ200万人

1555148338441244674,1555148338441244674,2022-08-04 20:07:11 東京 (標準時),2022-08-04,20:07:11,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,ついに最終日！ 昨日とうって変わって今日は混沌！！！！！ すべての物資を使い切り、サーバー平地するぺこだ ！！！！！ こわい、本当はこわい。 けどぺこーらにはロケランがある！ すべて壊せばいい。 そうぺこだろ？ すべてが終わったときギャンブルの時間だ…,ja,[],[],[],253,1514,5078,[],[],https://twitter.com/usadapekora/status/1555148338441244674,False,https://twitter.com/usadapekora/status/1555124470314319873,0,,,,,,,,[],,,,,"Finally, the last day! Yesterday was a complete change, today is chaos ！！！！！ To use up all the supplies and level the servers ！！！！！Scary, really scary. But Pekora has the rockerang! We can destroy everything. Right Peco? When all is said and done, it's time to gamble...","The server is going to be wiped, so everyone is trying to use up all their supplies and level up as much as possible. Pekora has a rockerang that can destroy everything, so they're going to use it to gamble.",サーバーが全滅してしまうので、みんなは物資を使い切り、できるだけレベルを上げようと思っている。すべてを破壊できるロケランを持っているので、それを使ってギャンブルをしようと思っている。

1555124470314319873,1555124470314319873,2022-08-04 18:32:21 東京 (標準時),2022-08-04,18:32:21,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,本日最後の最終決戦！！！！！ 貯めこんだ物資を全て使うぺこ!!  全て更地となるか… はたまたどうなるのか…  一体どうなっちまうぺこなのおおおおおおおおおおおおおおおおおおおおおおおおおおおお🐰!!,ja,[],['https://youtu.be/-r2OqPvJDwM'],['https://pbs.twimg.com/media/FZToroBagAAzKYW.jpg'],251,1216,5118,[],[],https://twitter.com/usadapekora/status/1555124470314319873,False,,1,https://pbs.twimg.com/media/FZToroBagAAzKYW.jpg,,,,,,,[],,,,,The final battle of the day: ！！！！！Peco!! will use all the supplies he has stored up... or will it all be cleared... and just what will happen then...,"- Peco will use all of his stored supplies in the final battle    - It is unknown what will happen once he has used them all up",最終決戦で蓄財を使い切る。使い切ってどうなるかは未知数です。

1554786336753590272,1554786336753590272,2022-08-03 20:08:43 東京 (標準時),2022-08-03,20:08:43,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,ばーーーーーーーん。 空にきれいな花火が打ちあがった。 君は目をキラキラと輝かせこういった。 きれい… 僕はそんな君に見とれていた。いや、君の存在が僕にとって花火なんだ。 君のほうがきれいだよ。 いつの間にか言葉が出ていた。 君はうっすら笑い ありがとっとつぶやいた…,ja,[],[],[],260,1461,5381,[],[],https://twitter.com/usadapekora/status/1554786336753590272,False,https://twitter.com/usadapekora/status/1554763847814516736,0,,,,,,,,[],,,,,"Booooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo. A beautiful firework shot up into the sky. Your eyes sparkled and you said, Beautiful.... Beautiful... I was so fascinated by you. No, your existence is like fireworks to me. You are more beautiful. Before I knew it, the words were out of my mouth. You smiled faintly and murmured, Thank you...","You told me I was beautiful, and I said thank you.",あなたは私に美しいと言い、私はありがとうと言いました。

1554763847814516736,1554763847814516736,2022-08-03 18:39:22 東京 (標準時),2022-08-03,18:39:22,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,ワイプまであと２日… やり残したことは…ある！！！！！  今日は悔いのないよう やり残したことをやりまくり!!  そして花火大会を楽しもうと思うぺこ✨,ja,[],['https://youtu.be/z-qHpuiykRc'],['https://pbs.twimg.com/media/FZOhCsoakAAAKDd.jpg'],236,1111,4966,[],[],https://twitter.com/usadapekora/status/1554763847814516736,False,,1,https://pbs.twimg.com/media/FZOhCsoakAAAKDd.jpg,,,,,,,[],,,,,Only 2 more days until Ip... I have unfinished business... ！！！！！ Today I'm going to do all the things I left undone so I don't have any regrets !! and enjoy the fireworks display ✨Peko,"I'm going to finish all my unfinished business and enjoy the fireworks display!",やり残したことを全部終わらせて、花火大会を楽しもうと思います

