id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,summarize_txt
1556266189386436609,1556266189386436609,2022-08-07 22:09:08 東京 (標準時),2022-08-07,22:09:08,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,久しいなマイクラ！ 夏だ！お祭りだ！いろいろやりたいことだらけだ！！！ その前に！！！！ 先月開通したID鯖にもお邪魔したいぺこだな～！ いろいろとすごいと噂ぺこだからちょ～～～～～～～～～楽しみ！！！  すこし参考にさせてもらうところを盗みにいくか！,ja,[],[],[],250,1499,5001,[],[],https://twitter.com/usadapekora/status/1556266189386436609,False,https://twitter.com/usadapekora/status/1556235916834123776,0,,,,,,,,[],,,,,    今回はそれぞれのシーンに適した色を選び、それぞれのシーンに適した配色方法を採用しました。        また、各シーンで使用するパーツは基本的にはすべてのシーンで使用できるようになっています。        それぞれのシーンで、使用できるパーツは色を変えたり、サイズを変えたりすることができます。        また、各シーンで使用するパーツは、他のシーンで使用するパーツと重複することはありません。        各シーンで使用するパーツは、他のシーンで使用するパーツとは異なるパーツを使用することもできます。
1556235916834123776,1556235916834123776,2022-08-07 20:08:50 東京 (標準時),2022-08-07,20:08:50,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,今日は久しぶりのマイクラ❣  凄いと噂のID鯖も見てみたいし 今年もあります！夏祭りの下準備もしなければ！  欲張りぺこーらぺこおおおおおお✨✨,ja,[],['https://youtu.be/7cNv0In60ZE'],['https://pbs.twimg.com/media/FZjbz5eaIAAHyY6.jpg'],263,1290,5660,[],[],https://twitter.com/usadapekora/status/1556235916834123776,False,,1,https://pbs.twimg.com/media/FZjbz5eaIAAHyY6.jpg,,,,,,,[],,,,,    1. 初日に限りID鯖を覗きたい    2. 夏祭りの下準備をしなければ
1555525773842341888,1555525773842341888,2022-08-05 21:06:59 東京 (標準時),2022-08-05,21:06:59,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,200万！！！！ これはとてつもない数字。 ぺこーらのことを知ってくれてる人がこんなにもいる！！！！ ついに、ついにだよ！！！！ みんなで一緒に見届けるしかないよな？ ついてきてくれるか？いこう！ 200万人の世界へ！！！！！！！！！！,ja,[],[],[],404,3544,11686,[],[],https://twitter.com/usadapekora/status/1555525773842341888,False,https://twitter.com/usadapekora/status/1555503756426747906,0,,,,,,,,[],,,,,                                                                                        ・ぺこーらは200万人の世界へ！！！！
1555503756426747906,1555503756426747906,2022-08-05 19:39:30 東京 (標準時),2022-08-05,19:39:30,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,ついについについについに… ぺこーらのCh登録者が200万人になりそうぺこ！！！！！！！！！！！！！！！  ここまで色々あったね～  やっぱこの瞬間はみんなと見届けたい‼️ 目指せ200万人！！！！！！！  ▽待機所▽  https://t.co/xDP2qD08n8  https://t.co/GRYwyOgfWc,ja,[],['https://youtu.be/4gisKCu30OI'],['https://pbs.twimg.com/media/FZY_dUeaUAATHM2.jpg'],339,2377,8998,[],[],https://twitter.com/usadapekora/status/1555503756426747906,False,,1,https://pbs.twimg.com/media/FZY_dUeaUAATHM2.jpg,,,,,,,[],,,,,    シンプルなテキストを記述し、    読みやすいフレーズで表現する。
1555148338441244674,1555148338441244674,2022-08-04 20:07:11 東京 (標準時),2022-08-04,20:07:11,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,ついに最終日！ 昨日とうって変わって今日は混沌！！！！！ すべての物資を使い切り、サーバー平地するぺこだ ！！！！！ こわい、本当はこわい。 けどぺこーらにはロケランがある！ すべて壊せばいい。 そうぺこだろ？ すべてが終わったときギャンブルの時間だ…,ja,[],[],[],253,1514,5078,[],[],https://twitter.com/usadapekora/status/1555148338441244674,False,https://twitter.com/usadapekora/status/1555124470314319873,0,,,,,,,,[],,,,,    トリガーが起こると、サーバーはカスタマイズされた「空間」に投げられる。    トリガーは1つのカスタムアイテムを使って起動することができます。    「空間」は、自動的に生成されるカスタムマップで、サーバーリセットとは関係なく、空間を通じてサーバーを起動することができます。    トリガーを使用して起動されたサーバーは、「空間」の中のカスタムアイテムを使用して構築する必要があります。    「空間」の中には、他のプレーヤーが訪れることはできません。    それ以外は、サーバーは通常と同じです。                                                                                                                                                                            ポイントは以下の1点です。        トリガーが起こると、サーバーはカスタムアイテムを使って構築する必要があります。
1555124470314319873,1555124470314319873,2022-08-04 18:32:21 東京 (標準時),2022-08-04,18:32:21,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,本日最後の最終決戦！！！！！ 貯めこんだ物資を全て使うぺこ‼️  全て更地となるか… はたまたどうなるのか…  一体どうなっちまうぺこなのおおおおおおおおおおおおおおおおおおおおおおおおおおおお🐰‼️,ja,[],['https://youtu.be/-r2OqPvJDwM'],['https://pbs.twimg.com/media/FZToroBagAAzKYW.jpg'],251,1216,5118,[],[],https://twitter.com/usadapekora/status/1555124470314319873,False,,1,https://pbs.twimg.com/media/FZToroBagAAzKYW.jpg,,,,,,,[],,,,,    「全て更地となるか」    「一体どうなっちまうぺこなのおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお🐰‼️」        これは単に「全て更地となるか」という質問に対する答えです。    答えは「はたまたどうなるのか」です。        これ以上は言うことはありません。
1554786336753590272,1554786336753590272,2022-08-03 20:08:43 東京 (標準時),2022-08-03,20:08:43,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,ばーーーーーーーん。 空にきれいな花火が打ちあがった。 君は目をキラキラと輝かせこういった。 きれい… 僕はそんな君に見とれていた。いや、君の存在が僕にとって花火なんだ。 君のほうがきれいだよ。 いつの間にか言葉が出ていた。 君はうっすら笑い ありがとっとつぶやいた…,ja,[],[],[],260,1461,5381,[],[],https://twitter.com/usadapekora/status/1554786336753590272,False,https://twitter.com/usadapekora/status/1554763847814516736,0,,,,,,,,[],,,,,    1. 一つの文章を文章集に分割する際には、文章全体を結ぶ言葉を用いる        以上です。
1554763847814516736,1554763847814516736,2022-08-03 18:39:22 東京 (標準時),2022-08-03,18:39:22,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,ワイプまであと２日… やり残したことは…ある！！！！！  今日は悔いのないよう やり残したことをやりまくり‼️  そして花火大会を楽しもうと思うぺこ✨,ja,[],['https://youtu.be/z-qHpuiykRc'],['https://pbs.twimg.com/media/FZOhCsoakAAAKDd.jpg'],236,1111,4966,[],[],https://twitter.com/usadapekora/status/1554763847814516736,False,,1,https://pbs.twimg.com/media/FZOhCsoakAAAKDd.jpg,,,,,,,[],,,,,    1. 悔いのないようにやり残したことをやりまくり‼️
1554439118561505286,1554439118561505286,2022-08-02 21:09:00 東京 (標準時),2022-08-02,21:09:00,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,よーでるよーでるよーでるよーでる！ ZZZぺこちゃんが！ よーでるよーでるよーでるよーでる！ ホロメンみんんが！ 今日はついにぷにぷにでガシャ！ 幸運ウサギと名乗っているからには自分をなんとしてでも出して見せる？ みんなはもうぺこーらゲットした？ まだなら一緒に回そうよ！！！！,ja,[],[],[],296,1790,6357,[],[],https://twitter.com/usadapekora/status/1554439118561505286,False,https://twitter.com/usadapekora/status/1554354373756878848,0,,,,,,,,[],,,,,    幸運ウサギなら幸運なことがよくある。    そもそも幸運ウサギを目指しているなら幸運なことがよくある。    ただし、悪いこともある。    それでも、幸運ウサギならばそれを乗り越えて最後には幸運なことになる。    みんなはもうぺこーらゲットした？ まだなら一緒に回そうよ！！！！
1554354373756878848,1554354373756878848,2022-08-02 15:32:15 東京 (標準時),2022-08-02,15:32:15,+0900,1133215093246664706,usadapekora,兎田ぺこら👯‍♀️新曲｢ララララビット！！｣歌ったぺこ！,,妖怪ウォッチ×ホロライブコラボきｔらああああ✨✨  ぺこーらに課せられたミッションは 自分【兎田ぺこら（アイドル）】を当てること‼️  しかしぺこーらは欲張り… 今日はホロメン全員当てたいぺこ😆,ja,[],['https://youtu.be/blosl-GzX-Q'],['https://pbs.twimg.com/media/FZIqvOLaMAYBBsm.jpg'],250,1599,6956,[],[],https://twitter.com/usadapekora/status/1554354373756878848,False,,1,https://pbs.twimg.com/media/FZIqvOLaMAYBBsm.jpg,,,,,,,[],,,,,    -1. 名前が分からない問題        ライブコラボには名前がありません。コラボは名前を持っていません。        したがって、ライブコラボに名前を付けることはできません。        それでは、ライブコラボを知っていますか？        ライブコラボとは、ライブでコラボをすることです。        コラボは、2つ以上のグループや個人が一緒に演奏することです。        ライブコラボでは、コラボをしたグループや個人たちが、ライブを開催します。        このようなコラボをしたライブは、コラボライブと呼ばれます。        ライブコラボは、グループや個人の交流の場となり、それぞれのグループや個人の能力を高めることができます。        また、ライブコラボを通して、グループや個人のキャリアを発展させることもできます。        ライブコラボには、様々な種類があります。        それでは、それぞれの種類を見ていきましょう。    
